hour,week_day,id_day_type,day_hour,appliance_electricity_dpt1,hot_water_dpt1,occupancy_dpt1,ventilation_supply_temperature_dpt1,appliance_electricity_dpt2,hot_water_dpt2,occupancy_dpt2,ventilation_supply_temperature_dpt2,appliance_electricity_dpt3,hot_water_dpt3,occupancy_dpt3,ventilation_supply_temperature_dpt3,appliance_electricity_dpt4,hot_water_dpt4,occupancy_dpt4,ventilation_supply_temperature_dpt4,appliance_electricity_dpt5,hot_water_dpt5,occupancy_dpt5,ventilation_supply_temperature_dpt5,appliance_electricity_dpt6,hot_water_dpt6,occupancy_dpt6,ventilation_supply_temperature_dpt6,appliance_electricity_dpt7,hot_water_dpt7,occupancy_dpt7,ventilation_supply_temperature_dpt7,appliance_electricity_dpt8,hot_water_dpt8,occupancy_dpt8,ventilation_supply_temperature_dpt8,appliance_electricity_dpt9,hot_water_dpt9,occupancy_dpt9,ventilation_supply_temperature_dpt9,appliance_electricity_dpt10,hot_water_dpt10,occupancy_dpt10,ventilation_supply_temperature_dpt10,appliance_electricity_dpt11,hot_water_dpt11,occupancy_dpt11,ventilation_supply_temperature_dpt11,appliance_electricity_dpt12,hot_water_dpt12,occupancy_dpt12,ventilation_supply_temperature_dpt12,appliance_electricity_dpt13,hot_water_dpt13,occupancy_dpt13,ventilation_supply_temperature_dpt13,appliance_electricity_dpt14,hot_water_dpt14,occupancy_dpt14,ventilation_supply_temperature_dpt14
1,2,1,1,94.66452817,3093.28,1,19.798465,410.2129554,3093.28,1,19.798465,144.5251322,3093.28,1,19.798465,581.6503954,3093.28,1,19.798465,126.0791481,3093.28,1,19.798465,516.0933874,3093.28,1,19.798465,3302.777476,17.4246,0,19,28135.04925,17.4246,0,16,3302.777476,17.4246,0,19,19208.12258,17.4246,0,16,3302.777476,17.4246,0,19,7770.127493,17.4246,0,16,3302.777476,17.4246,0,19,8221.290935,17.4246,0,16
2,2,1,2,94.66452817,1286.22,1,19.796472,410.2129554,1286.22,1,19.796472,144.5251322,1286.22,1,19.796472,581.6503954,1286.22,1,19.796472,126.0791481,1286.22,1,19.796472,516.0933874,1286.22,1,19.796472,3303.369796,16.6558,0,19,28136.13205,16.6558,0,16,3303.369796,16.6558,0,19,19209.20538,16.6558,0,16,3303.369796,16.6558,0,19,7771.210294,16.6558,0,16,3303.369796,16.6558,0,19,8222.373735,16.6558,0,16
3,2,1,3,94.66452817,255.128,1,19.754619,410.2129554,255.128,1,19.754619,144.5251322,255.128,1,19.754619,581.6503954,255.128,1,19.754619,126.0791481,255.128,1,19.754619,516.0933874,255.128,1,19.754619,3305.442917,16.6638,0,19,28139.92185,16.6638,0,16,3305.442917,16.6638,0,19,19212.99518,16.6638,0,16,3305.442917,16.6638,0,19,7775.000095,16.6638,0,16,3305.442917,16.6638,0,19,8226.163536,16.6638,0,16
4,2,1,4,94.66452817,513.783,1,19.70878,410.2129554,513.783,1,19.70878,144.5251322,513.783,1,19.70878,581.6503954,513.783,1,19.70878,126.0791481,513.783,1,19.70878,516.0933874,513.783,1,19.70878,3310.181479,16.8621,0,19,28148.58425,16.8621,0,16,3310.181479,16.8621,0,19,19221.65758,16.8621,0,16,3310.181479,16.8621,0,19,7783.662498,16.8621,0,16,3310.181479,16.8621,0,19,8234.82594,16.8621,0,16
5,2,1,5,139.1518094,1803.53,1,19.664934,590.3886697,1803.53,1,19.664934,168.2516822,1803.53,1,19.664934,677.7441097,1803.53,1,19.664934,142.6877331,1803.53,1,19.664934,583.3589874,1803.53,1,19.664934,3319.954762,17.6905,0,19,28166.45046,17.6905,0,16,3319.954762,17.6905,0,19,19239.52379,17.6905,0,16,3319.954762,17.6905,0,19,7801.528704,17.6905,0,16,3319.954762,17.6905,0,19,8252.692146,17.6905,0,16
6,2,1,6,317.1009344,6973.1,1,19.621088,1311.091527,6973.1,1,19.621088,263.1578822,6973.1,1,19.621088,1062.118967,6973.1,1,19.621088,209.1220731,6973.1,1,19.621088,852.4213874,6973.1,1,19.621088,3335.651247,18.8318,0,19,28195.14467,18.8318,0,16,3335.651247,18.8318,0,19,19268.218,18.8318,0,16,3335.651247,18.8318,0,19,10428.87178,18.8318,0,16,3335.651247,18.8318,0,19,11556.78039,18.8318,0,16
7,2,1,7,450.5627782,14991.4,1,19.646997,1851.61867,14991.4,1,19.646997,334.3375322,14991.4,1,19.646997,1350.40011,14991.4,1,19.646997,193.2345081,14991.4,1,19.646997,796.6160946,14991.4,1,19.646997,3356.086295,20.8171,0,19,28232.50128,20.8171,1,16,3356.086295,20.8171,0,19,19305.57461,20.8171,1,16,3356.086295,20.8171,0,19,13064.87727,20.8171,1,16,3356.086295,20.8171,0,19,14869.53103,20.8171,1,16
8,2,1,8,495.0500594,19647.2,0,19.672906,2031.794384,19647.2,0,19.672906,358.0640822,19647.2,0,19.672906,1446.493824,19647.2,0,19.672906,167.0212821,19647.2,0,19.672906,694.7212882,19647.2,0,19.672906,31496.15479,23.89,0,19,28271.4821,23.89,1,16,21723.38854,23.89,0,19,19344.55543,23.89,1,16,5581.919428,23.89,0,19,14836.29066,23.89,1,16,6201.698978,23.89,0,19,17092.10787,23.89,1,16
9,2,1,9,94.66452817,18871.2,0,19.603151,410.2129554,18871.2,0,19.603151,144.5251322,18871.2,0,19.603151,581.6503954,18871.2,0,19.603151,96.16452817,18871.2,0,19.603151,411.7129554,18871.2,0,19.603151,9019.520742,27.6568,0,19,10627.16544,27.6568,1,16,10719.20244,27.6568,0,19,10715.95934,27.6568,1,16,4718.477512,27.6568,0,19,7940.127153,27.6568,1,16,6577.816163,27.6568,0,19,10195.94436,27.6568,1,16
10,2,1,10,94.66452817,14474.1,0,19.621088,410.2129554,14474.1,0,19.621088,144.5251322,14474.1,0,19.621088,581.6503954,14474.1,0,19.621088,96.16452817,14474.1,0,19.621088,411.7129554,14474.1,0,19.621088,9031.663306,30.5359,1,19,10649.36285,30.5359,1,16,10731.345,30.5359,1,19,10738.15675,30.5359,1,16,5612.423918,30.5359,1,19,7615.838044,30.5359,1,16,8711.32167,30.5359,1,19,9420.491811,30.5359,1,16
11,2,1,11,94.66452817,11887.6,0,19.658955,410.2129554,11887.6,0,19.658955,144.5251322,11887.6,0,19.658955,581.6503954,11887.6,0,19.658955,96.16452817,11887.6,0,19.658955,411.7129554,11887.6,0,19.658955,9037.882669,31.609,1,19,10660.73225,31.609,1,16,10737.56436,31.609,1,19,10749.52615,31.609,1,16,5618.64328,31.609,1,19,7973.693964,31.609,1,16,8717.541032,31.609,1,19,10229.51117,31.609,1,16
12,2,1,12,94.66452817,11111.6,0,19.724724,410.2129554,11111.6,0,19.724724,144.5251322,11111.6,0,19.724724,581.6503954,11111.6,0,19.724724,96.16452817,11111.6,0,19.724724,411.7129554,11111.6,0,19.724724,9038.178829,31.3681,1,19,10661.27365,31.3681,0,16,10737.86052,31.3681,1,19,10750.06755,31.3681,0,16,5178.037519,31.3681,1,19,7108.019075,31.3681,0,16,7657.155721,31.3681,1,19,8235.927679,31.3681,0,16
13,2,1,13,1450.340634,10852.9,1,19.740668,6259.604406,10852.9,1,19.740668,1458.679776,10852.9,1,19.740668,6262.877846,10852.9,1,19.740668,1413.071504,10852.9,1,19.740668,6091.582283,10852.9,1,19.740668,9033.144107,30.6883,0,19,10652.06985,30.6883,1,16,10732.8258,30.6883,0,19,10740.86375,30.6883,1,16,4291.198955,30.6883,0,19,7618.545045,30.6883,1,16,5530.758056,30.6883,0,19,9423.198812,30.6883,1,16
